"ID";"State / Area";"Nationality ID";"State Key ID"
112;"Libanon";91;171
113;"Liberia";92;73
114;"Libysch-Arabische Dschamahirija";93;74
115;"Liechtenstein";94;22
116;"Litauen";95;23
117;"Luxemburg";96;24
118;"Madagaskar";97;75
119;"Makedonien/Mazedonien";98;25
120;"Malawi";99;81
121;"Malaysia";100;190
122;"Malediven";101;172
123;"Mali";102;76
124;"Malta";103;26
125;"Marokko";104;77
126;"Marshallinseln";105;209
127;"Martinique";;145
128;"Mauretanien";106;67
129;"Mauritius";107;78
130;"Mayotte";;107
131;"Mexiko";108;129
132;"Mikronesien, Förderierte Staaten von";109;210
133;"Moldau";110;27
134;"Monaco";111;28
135;"Mongolei";112;174
136;"Montenegro";113;21
137;"Montserrat";;144
138;"Mosambik";114;79
139;"Myanmar";115;152
140;"Namibia";116;89
141;"Nauru";117;200
142;"Nepal";118;175
143;"Neukaledonien";;212
144;"Neuseeland";119;203
145;"Nicaragua";120;130
146;"Niederlande";121;29
147;"Niederländische Antillen einschl. Curacao";;145
148;"Niger";122;80
149;"Nigeria";123;62
150;"Niue";124;202
151;"Nördliche Marianen";125;196
152;"Norwegen, einschl. Bäreninsel und Spitzbergen, auch Svalbard";126;30
153;"Oman";127;173
154;"Österreich";128;32
155;"Pakistan";129;177
156;"Palau";130;204
157;"Panama";131;132
158;"Papua-Neugiunea";132;205
159;"Paraguay";133;133
160;"Pazifische Inseln,(Marianen- und Karolineninseln)";;212
161;"Peru";134;134
162;"Philippinen";135;178
163;"Pitcairn-Insel";;211
164;"Polen";136;33
165;"Portugal";137;34
166;"Puerto Rico";;145
167;"Reunion";;107
168;"Ruanda";138;88
169;"Rumänien";139;35
170;"Russische Föderation";140;40
171;"Saint Pierre und Miquelon";;145
172;"Salomonen";141;195
173;"Sambia";142;82
174;"Samoa";143;208
175;"San Marino";144;37
176;"Sao Tomé und Principe";145;90
177;"Saudi-Arabien";146;184
178;"Schweden";147;38
179;"Schweiz";148;39
180;"Senegal";149;91
181;"Serbien";150;49
182;"Serbien (einschl. Kosovo)";150;14
183;"Serbien und Montenegro";151;13
184;"Seychellen";152;92
185;"Sierra Leone";153;93
186;"Simbabwe";154;63
187;"Singapur";155;185
188;"Slowakei";156;36
189;"Slowenien";157;12
190;"Somalia";158;94
191;"Spanien";159;41
192;"Sri Lanka";160;155
193;"St. Helena einschl. Ascension";;106
194;"St. Kitts und Nevis";161;141
195;"St. Lucia";162;137
196;"St. Vincent und die Grenadinen";163;140
197;"Südafrika";164;87
198;"Sudan";165;96
199;"Suriname";166;135
200;"Swasiland";167;97
201;"Syrien, Arabische Republik";168;186
202;"Tadschikistan";169;182
203;"Taiwan";31;179
204;"Tansania, Vereinigte Republik";170;98
205;"Thailand";171;187
206;"Tibet";31;189
207;"Timor-Leste";172;191
208;"Togo";173;99
209;"Tokelau-Inseln";;212
210;"Tonga";174;207
211;"Trinidad und Tobago";175;142
212;"Tschad";176;100
213;"Tschechische Republik";177;43
214;"Tunesien";178;101
215;"Türkei";179;42
216;"Turkmenistan";180;183
217;"Turks- und Caicosinseln";;144
218;"Tuvalu";181;206
219;"Uganda";182;102
220;"Ukraine";183;45
221;"Ungarn";184;44
222;"Uruguay";185;136
223;"Usbekistan";186;188
224;"Vanuatu";187;201
225;"Vatikanstadt";188;46
226;"Venezuela";189;138
227;"Vereinigte Arabische Emirate";190;181
228;"Vereinigte Staaten";191;139
229;"Vietnam";192;156
230;"Weißrussland (Belarus)";193;48
231;"Zentralafrikanische Republik";194;104
232;"Zypern";195;50
233;"britisch abhängige Gebiete in Europa";;51
234;"britisch abhängige Gebiete in Afrika";;106
235;"britisch abhängige Gebiete in Amerika";;144
236;"britisch abhängige Gebiete in Asien";;192
237;"britisch abhängige Gebiete in Australien oder Ozeanien";;211
238;"übriges Europa";;52
239;"übriges Afrika";;107
240;"übriges Amerika";;145
241;"übriges Asien";;193
242;"übriges Ozeanien";;212
243;"unbekanntes Ausland";;213
244;"staatenlos";;214
245;"ungeklärt";;215
246;"ohne Angabe";;216
